nodo_id,nodo_name,tipo_nodo,autostrada_id,km
*/2834  [3031],SV PORTO CIVITAVECCHIA,CASELLO,698,0.0
*/2833  [3030],SV..BORGATA AURELIA (CIVITAVECCHIA PORTO PER/DA P.CIVITAVECCHIA),CASELLO,698,3.9
*/1905  [2757],ALL.A12/SS 698 PORTO CIVITAVECCHIA,ALLACCIAMENTO,698,8.1
*/1342  [2034],INIZIO A1 MILANO-NAPOLI,ALLACCIAMENTO,A01,0.0
*/1343  [2035],BIVIO A1/RACCORDO TANG. EST MI,ALLACCIAMENTO,A01,1.2
*/1077  [1073],SAN GIULIANO,CASELLO,A01,2.7
*/1139  [260],BIVIO A1/TANGENZIALE OVEST MI,ALLACCIAMENTO,A01,4.3
35/37  [1118],MELEGNANO,CASELLO,A01,7.7
*/1080  [262],BINASCO,CASELLO,A01,8.1
*/1082  [261],MELEGNANO SVINCOLO,CASELLO,A01,8.6
1/1  [146],MILANO SUD,CASELLO,A01,8.9
1/5043  [70121],BIVIO A1/A58,ALLACCIAMENTO,A01,10.646
10127,S.ZENONE OVEST,DISTRIBUTORE,A01,15.1
1/2  [2494],LODI,CASELLO,A01,22.3
1/3  [2495],CASALPUSTERLENGO,CASELLO,A01,37.8
10126,SOMAGLIA OVEST,DISTRIBUTORE,A01,43.5
1/4  [266],BASSO LODIGIANO,CASELLO,A01,49.7
1/1445  [2498],BIVIO A1/INIZIO COMPLANARE PIACENZA,ALLACCIAMENTO,A01,55.8
1/1444  [2499],BIVIO A1/FINE COMPLANARE PIACENZA,ALLACCIAMENTO,A01,58.3
10125,ARDA OVEST,DISTRIBUTORE,A01,73.3
1/1442  [1855],BIVIO A1/DIRAMAZIONE FIORENZUOLA,ALLACCIAMENTO,A01,73.9
1/6  [360],FIORENZUOLA,CASELLO,A01,74.0
1/7  [272],FIDENZA,CASELLO,A01,90.4
1/5058  [72073],BIVIO A1/A15 PARMA-LA SPEZIA,ALLACCIAMENTO,A01,101.693
1/8  [274],PARMA,CASELLO,A01,110.4
10129,S.MARTINO OVEST,DISTRIBUTORE,A01,114.1
1/5000  [417],CAMBIO COMPETENZA A1 T02 - T03,CASELLO,A01,119.5
1/91  [2564],TERRE DI CANOSSA - CAMPEGINE,CASELLO,A01,124.4
1/9  [2457],REGGIO EMILIA,CASELLO,A01,137.1
1/954  [81],BIVIO A1/A22 BRENNERO-MODENA,ALLACCIAMENTO,A01,155.3
10128,SECCHIA OVEST,DISTRIBUTORE,A01,156.5
1/10  [330],MODENA NORD,CASELLO,A01,157.6
1/11  [332],MODENA SUD,CASELLO,A01,170.8
1/96  [70201],VALSAMOGGIA,CASELLO,A01,184.789
1/981  [292],BIVIO A1/A14 BOLOGNA-TARANTO,ALLACCIAMENTO,A01,188.8
1/984  [303],BIVIO A1/RACC. A14 BO CASALECCHIO,ALLACCIAMENTO,A01,195.3
10130,CANTAGALLO OVEST,DISTRIBUTORE,A01,198.9
1/70  [70208],SASSO MARCONI NORD,CASELLO,A01,199.89
1/14  [2459],SASSO MARCONI,ALLACCIAMENTO,A01,209.8
1/5001  [373],CAMBIO COMPETENZA A1 T03 - T04,CASELLO,A01,210.1
1/5044  [70132],BIVIO A1-VARIANTE,ALLACCIAMENTO,A01,220.4
1/15  [374],RIOVEGGIO,CASELLO,A01,222.7
1/16  [375],PIAN DEL VOGLIO,CASELLO,A01,237.2
1/17  [376],RONCOBILACCIO,CASELLO,A01,242.3
10510,RONCOBILACCIO OVEST,DISTRIBUTORE,A01,242.6
1/5045  [70133],AGLIO KM 255,ALLACCIAMENTO,A01,254.672
1/18  [2489],BARBERINO DI MUGELLO,CASELLO,A01,261.5
1/5046  [70134],BIVIO A1-VARIANTE,ALLACCIAMENTO,A01,262.2
1/19  [380],CALENZANO,CASELLO,A01,278.1
1/1014  [2732],BIVIO A1/COMPL. FI NORD KM 279.3,ALLACCIAMENTO,A01,279.34
10132,BISENZIO OVEST,DISTRIBUTORE,A01,279.8
1/20  [382],FIRENZE NORD,ALLACCIAMENTO,A01,279.9
1/1015  [2733],BIVIO A1/COMPL. FI NORD KM 280.3,ALLACCIAMENTO,A01,280.28
1/1000  [405],BIVIO A1/A11 FIRENZE-PISA NORD,ALLACCIAMENTO,A01,280.4
